Name_of_interviewer,Agency,Date,Hi__my_name_is_and_I_am_workin,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,For_the_following_questions__I,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,This_is_the_end_of_the_survey_,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
laxman pd nhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,4,25_39,female,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,food,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,1___not_at_all,1___not_at_all,4___mostly_yes,refused,,,,,,uuid:2738c42e-acb3-4926-ba56-84ef7a0df0f6,724398,2738c42e-acb3-4926-ba56-84ef7a0df0f6,2015-09-29T09:52:44,534,,-1,,
jagadish kunwar,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,9,40_54,female,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,food,,2___very_little,cash_for_work,,food_aid,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,4___mostly_yes,,,,,5___completely_yes,,,,,refused,2___not_very_m,1___not_at_all,1___not_at_all,long_term_shelter__housing,,financial_support,,,uuid:fb26a2ec-26ef-4898-932b-0163516c3299,724776,fb26a2ec-26ef-4898-932b-0163516c3299,2015-09-29T10:28:56,103,,-1,,
jagadish kunwar,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,9,25_39,female,Chhetri,,farmer_laborer,,yes__some_diff,,2___very_little,long_term_shelter__housing,,financial_support,,housing_inspections,,1___not_at_all,cash_for_work,,food_aid,,2___very_little,news_about_government_decision,,how_to_register_for_access_sup,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,based_on_caste,,joint_families,,2___very_little,2___not_very_m,1___not_at_all,refused,,,,,,uuid:b2dceeb3-d0f0-4cb7-bf41-797757cab085,724758,b2dceeb3-d0f0-4cb7-bf41-797757cab085,2015-09-29T10:26:47,670,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,2,40_54,female,Newar,,farmer_laborer,,no_difficulty,,4___mostly_yes,,,,,,,4___mostly_yes,,,,,1___not_at_all,news_about_government_decision,,how_to_register_for_access_sup,,4___mostly_yes,,,,,4___mostly_yes,,,,,refused,refused,4___mostly_yes,4___mostly_yes,,,,,,uuid:e4d1004f-b573-4203-8e8a-e0e6c8f4d01b,724316,e4d1004f-b573-4203-8e8a-e0e6c8f4d01b,2015-09-29T09:38:17,482,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,2,25_39,female,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,food,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,1___not_at_all,first_come__fi,,joint_families,,1___not_at_all,2___not_very_m,3___neutral,4___mostly_yes,,,,,,uuid:10e31cf4-6029-40b0-8505-fcf5a3ae3b42,724323,10e31cf4-6029-40b0-8505-fcf5a3ae3b42,2015-09-29T09:40:14,485,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,2,25_39,female,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,food,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,don_t_know,2___not_very_m,4___mostly_yes,4___mostly_yes,,,,,,uuid:bd4ba7c7-1ba6-4066-a000-461cd9663689,724364,bd4ba7c7-1ba6-4066-a000-461cd9663689,2015-09-29T09:46:19,513,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,4,25_39,female,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,healthcare,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,refused,1___not_at_all,4___mostly_yes,3___neutral,gender_based_v,,long_term_shelter__housing,,,uuid:cdb2ae27-6ef7-4686-ac94-b681b24c5c19,724377,cdb2ae27-6ef7-4686-ac94-b681b24c5c19,2015-09-29T09:48:54,524,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,6,25_39,female,Newar,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,food,,5___completely_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,don_t_know,refused,4___mostly_yes,4___mostly_yes,,,,,,uuid:a75d2afd-bf8f-42fd-ab85-a8510c432a84,724444,a75d2afd-bf8f-42fd-ab85-a8510c432a84,2015-09-29T10:00:33,565,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,6,40_54,female,Newar,,farmer_laborer,,no_difficulty,,4___mostly_yes,,,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,5___completely_yes,4___mostly_yes,5___completely_yes,1___not_at_all,long_term_shelter__housing,,financial_support,,,uuid:2524d843-71d5-4e3c-b9c9-625012043b31,724552,2524d843-71d5-4e3c-b9c9-625012043b31,2015-09-29T10:04:27,579,,-1,,
laxman pd bhattarai,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,5,25_39,female,Newar,,farmer_laborer,,no_difficulty,,3___neutral,healthcare,,psychosocial_counseling,,financial_support,,5___completely_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,don_t_know,4___mostly_yes,5___completely_yes,4___mostly_yes,,,,,,uuid:e24ff848-6646-4308-9e0a-c9cdebdd98cd,724661,e24ff848-6646-4308-9e0a-c9cdebdd98cd,2015-09-29T10:11:47,605,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,4,25_39,female,Newar,,farmer_laborer,,no_difficulty,,3___neutral,long_term_shelter__housing,,healthcare,,financial_support,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,3___neutral,4___mostly_yes,3___neutral,1___not_at_all,psychosocial_counseling,,healthcare,,,uuid:7a2860c2-6d28-42bb-85f4-96b615be1cde,724387,7a2860c2-6d28-42bb-85f4-96b615be1cde,2015-09-29T09:50:57,75,,-1,,
jagadish kunwar,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,9,25_39,male,Newar,,skilled_worker,,yes__some_diff,,1___not_at_all,housing_inspections,,livelihoods,,clean_water,,2___very_little,building_mater,,cash_for_work,,2___very_little,how_to_get_shelter_materials,,how_to_get_healthcare_psycholo,,3___neutral,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,because_people,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:143ec646-bc2f-45c9-9f46-a98caf59a0e2,724713,143ec646-bc2f-45c9-9f46-a98caf59a0e2,2015-09-29T10:20:18,643,,-1,,
jagadish kunwar,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,9,25_39,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,short_term_she,,livelihoods,,financial_support,,2___very_little,building_mater,,cash_for_work,,don_t_know,,,,,1___not_at_all,building_mater,,housing_inspec,,1___not_at_all,based_on_dista,,first_come__fi,,2___very_little,2___not_very_m,1___not_at_all,,,,,,,uuid:84a5da60-d5ef-47b9-b2a9-6510bb018938,724726,84a5da60-d5ef-47b9-b2a9-6510bb018938,2015-09-29T10:22:55,653,,-1,,
jagadish kunwar,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,9,25_39,male,Newar,,skilled_worker,,no_difficulty,,4___mostly_yes,,,,,,,5___completely_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,don_t_know,,,,,1___not_at_all,2___not_very_m,1___not_at_all,,,,,,,uuid:906b79d2-3d97-4986-8dd8-4b48f69fcf2f,724748,906b79d2-3d97-4986-8dd8-4b48f69fcf2f,2015-09-29T10:24:26,662,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,2,25_39,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,food,,4___mostly_yes,,,,,5___completely_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,refused,4___mostly_yes,4___mostly_yes,,,,,,,uuid:8cad11b2-1c40-4640-94d7-809eaafebf84,724336,8cad11b2-1c40-4640-94d7-809eaafebf84,2015-09-29T09:42:14,493,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,2,25_39,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,healthcare,,4___mostly_yes,,,,,2___very_little,how_to_get_healthcare_psycholo,,how_to_register_for_access_sup,,5___completely_yes,,,,,4___mostly_yes,,,,,refused,refused,5___completely_yes,,,,,,,uuid:32bd26e4-55af-4bfa-a518-92854519793d,724353,32bd26e4-55af-4bfa-a518-92854519793d,2015-09-29T09:44:22,504,,-1,,
